,name,eans,0,1,cluster_id
248,Trolli Gummi World,4000512004202,chocolat,bonbons-chewing-gum,0
249,Trolli Gummi World,4000512403104,chocolat,bonbons-chewing-gum,0
250,Trolli Gummi World,7617015022502,chocolat,bonbons-chewing-gum,0
251,Trolli Gummi World,4003084017267,chocolat,bonbons-chewing-gum,0
252,Trolli Gummi World,4000512270027,chocolat,bonbons-chewing-gum,0
253,Trolli Gummi World,4003084017311,chocolat,bonbons-chewing-gum,0
254,Stimorol Max splash Strawberry lime,57000213,chocolat,bonbons-chewing-gum,0
255,Stimorol Max splash Strawberry lime,7622210701916,chocolat,bonbons-chewing-gum,0
256,Stimorol Spearmint,7622300771706,chocolat,bonbons-chewing-gum,0
257,Stimorol Spearmint,7622210747815,chocolat,bonbons-chewing-gum,0
258,Stimorol Spearmint,7622210377142,chocolat,bonbons-chewing-gum,0
259,V6 Dental White Spearmint,57625102,chocolat,bonbons-chewing-gum,0
260,V6 Dental White Spearmint,7622210071965,chocolat,bonbons-chewing-gum,0
261,M-Classic Menthol Extra Strong,7613312098400,chocolat,bonbons-chewing-gum,0
262,M-Classic Menthol Extra Strong,7613269195665,chocolat,bonbons-chewing-gum,0
263,M-Classic Menthol Extra Strong,7616500636231,chocolat,bonbons-chewing-gum,0
264,M-Classic Menthol Extra Strong,7616500360938,chocolat,bonbons-chewing-gum,0
265,M-Classic Menthol Extra Strong,7613269195672,chocolat,bonbons-chewing-gum,0
266,M-Classic Menthol Extra Strong,7613312098417,chocolat,bonbons-chewing-gum,0
267,M-Classic Menthol Extra Strong,7616500369634,chocolat,bonbons-chewing-gum,0
268,Gomz Gummi-Bärli Confiserie gélifiée,7613269294641,chocolat,bonbons-chewing-gum,0
269,Gomz Gummi-Bärli Confiserie gélifiée,7610167640259,chocolat,bonbons-chewing-gum,0
270,Gomz Gummi-Bärli Confiserie gélifiée,7613269294658,chocolat,bonbons-chewing-gum,0
271,Gomz Gummi-Bärli Confiserie gélifiée,7610167751009,chocolat,bonbons-chewing-gum,0
272,Larry's bonbons aux herbes,7613269200925,chocolat,bonbons-chewing-gum,0
273,Larry's bonbons aux herbes,7613269200932,chocolat,bonbons-chewing-gum,0
274,Mentos gum Green mint,80728344,chocolat,bonbons-chewing-gum,0
275,Mentos gum Green mint,8003440931332,chocolat,bonbons-chewing-gum,0
276,Mentos gum Green mint,8003440931325,chocolat,bonbons-chewing-gum,0
277,Stimorol spearmint,5700626170389,chocolat,bonbons-chewing-gum,0
278,Stimorol spearmint,7622210424143,chocolat,bonbons-chewing-gum,0
279,English Toffees Caramels mous,7613269332688,chocolat,bonbons-chewing-gum,0
280,English Toffees Caramels mous,7613269332695,chocolat,bonbons-chewing-gum,0
281,Caramelle gommose,7610327120003,chocolat,bonbons-chewing-gum,0
282,Caramelle gommose,7610327120119,chocolat,bonbons-chewing-gum,0
283,Smams Mint C,7613269333609,chocolat,bonbons-chewing-gum,0
284,Smams Mint C,7613269333616,chocolat,bonbons-chewing-gum,0
285,M-Classic Exotic fruits,7613312127056,chocolat,bonbons-chewing-gum,0
286,M-Classic Exotic fruits,7613312127063,chocolat,bonbons-chewing-gum,0
287,Fruity fresh Chewing Gum,7616500909809,chocolat,bonbons-chewing-gum,0
288,Fruity fresh Chewing Gum,7616500089969,chocolat,bonbons-chewing-gum,0
289,Fruity fresh Chewing Gum,7616500386389,chocolat,bonbons-chewing-gum,0
290,Fruity fresh Chewing Gum,7616500374669,chocolat,bonbons-chewing-gum,0
291,Skai the bigger gum Strawberry sour,7616500651982,chocolat,bonbons-chewing-gum,0
292,Skai the bigger gum Strawberry sour,7616500384132,chocolat,bonbons-chewing-gum,0
293,Trident senses Rainforest Mint,52017063,chocolat,bonbons-chewing-gum,0
294,Trident senses Rainforest Mint,25201295314554,chocolat,bonbons-chewing-gum,0
295,Trident senses Rainforest Mint,7622300770358,chocolat,bonbons-chewing-gum,0
296,Trident senses Rainforest Mint,7640118679298,chocolat,bonbons-chewing-gum,0
297,Red Band ficelles au goût de fraise,5700417990455,chocolat,bonbons-chewing-gum,0
298,Red Band ficelles au goût de fraise,5700417990219,chocolat,bonbons-chewing-gum,0
299,Red Band ficelles au goût de fraise,7310350104246,chocolat,bonbons-chewing-gum,0
300,Red Band ficelles au goût de fraise,7330869100102,chocolat,bonbons-chewing-gum,0
301,Red Band ficelles au goût de fraise,7330869106845,chocolat,bonbons-chewing-gum,0
302,Skai tropical cream,7616500657281,chocolat,bonbons-chewing-gum,0
303,Skai tropical cream,7616500390782,chocolat,bonbons-chewing-gum,0
304,Smams Sugarfree fruits,7613312124734,chocolat,bonbons-chewing-gum,0
305,Smams Sugarfree fruits,7613312124741,chocolat,bonbons-chewing-gum,0
306,Caramelle alle erbe nostrane,7640125662016,chocolat,bonbons-chewing-gum,0
307,Caramelle alle erbe nostrane,7640169860034,chocolat,bonbons-chewing-gum,0
308,Caramelle alle erbe nostrane,7640125662023,chocolat,bonbons-chewing-gum,0
309,Larry's Fresh-Mint Dragées,7610167658605,chocolat,bonbons-chewing-gum,0
