,category,Énergie (kJ),Sel (g),Protéines (g),Sucres (g),Glucides (g),Matières grasses (g),Acides gras saturés (g),Fibres alimentaires (g),Biotine (µg),Vitamine B1 (Thiamine) (mg),Vitamine E (Tocopherol) (mg),Acide folique (µg),Vitamine A (µg),Vitamine D (Cholacalciferol) (µg),Vitamine C (Acide ascorbique) (mg),Vitamine B6 (Pyridoxine) (mg),Vitamine B5 (acide pantothénique) (mg),Vitamine B3 (Niacine) (mg),Vitamine B2 (Riboflavine) (mg),Vitamine B12 (Cobalamine) (µg)
64,/VIANDE/SALAMI_LARD,1825.4,4.039999999999999,26.2,0.65,1.0,36.8,1.5,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,/PRODUITS_SURGELES/PIZZA,931.65625,1.3221874999999998,9.712499999999999,3.14375,26.599999999999998,8.096875,0.4375,1.828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,/PLATS_CUISINES/PLATS_CUISINES,1011.2962962962963,1.777962962962963,8.131481481481481,3.9851851851851854,40.3037037037037,5.288888888888888,0.05555555555555555,2.240740740740741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,/BOULANGERIE/PAINS,1125.6373076923078,1.551153846153846,10.734615384615385,3.1076923076923078,44.30769230769231,5.357692307692308,0.21153846153846154,3.730769230769231,0.0,0.0,0.0,1.1538461538461537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,/BOULANGERIE/PETITS_PAINS,1372.0,1.3333333333333333,9.333333333333334,9.166666666666666,50.55555555555556,8.88888888888889,0.0,3.111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,/PRODUITS_LAITIERS_OEUFS/SERE,530.5,0.085,4.0,17.875,17.75,3.9624999999999995,0.0,0.4625,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0
70,/CHOCOLAT/BISCUITS_POUR_ENFANTS,2084.1111111111113,0.41333333333333333,6.633333333333334,32.25555555555555,63.37777777777777,23.599999999999998,1.9888888888888887,1.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,/GARNITURES_INGREDIENTS/CHAMPIGNONS_OLIVES_EN_CONSERVE,425.96774193548384,2.522903225806451,1.8161290322580643,0.3290322580645161,0.9064516129032258,8.461290322580643,0.03225806451612903,2.4451612903225803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,/GARNITURES_INGREDIENTS/FRUITS_EN_CONSERVE,322.58,0.013000000000000005,0.6780000000000002,16.08,17.5,0.36200000000000004,0.05,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,/PRODUITS_LAITIERS_OEUFS/OEUFS,650.0,0.2475,13.0,0.5,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,/VIANDE/SAUCISSES,1191.04,2.2439999999999998,16.04,0.82,0.96,22.32,0.92,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,/BOULANGERIE/PRODUITS_SANS_GLUTEN,1076.5,1.3500000000000003,3.75,1.8499999999999999,45.0,5.5,0.25,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,/FRUITS_ET_LEGUMES/FRUITS,1296.0,0.0,12.75,4.5,9.0,24.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
77,/VIANDE/VIANDE_SECHEE_JAMBON,965.3571428571429,3.9749999999999988,30.042857142857144,0.9892857142857142,1.3928571428571428,11.932142857142859,0.6071428571428571,0.48214285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,/VIANDE/VOLAILLE,735.8333333333334,1.6333333333333335,11.0,0.9166666666666666,14.166666666666666,11.666666666666666,0.0,1.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,/GARNITURES_INGREDIENTS/LEGUMINEUSES_HARICOTS_VERTS_SECHES,1301.4285714285713,0.12285714285714286,23.0,4.071428571428571,41.57142857142857,1.5,0.07142857142857142,17.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
